"listing_id","neighbourhood_cleansed","room_type","accommodates","number_of_reviews","review_scores_rating","host_is_superhost","total_days","total_occupied_days","occupancy_rate"
"3629580","East Harlem","Private room",1,3,"5.00",False,"365","365","1.00000000000000000000"
"28438751","Astoria","Private room",3,391,"4.55",False,"365","183","0.50136986301369863014"
"851448450763390690","Greenpoint","Entire home/apt",4,1,"5.00",False,"365","365","1.00000000000000000000"
"23158770","Woodhaven","Entire home/apt",4,0,NULL,False,"365","365","1.00000000000000000000"
"942191196511011206","East Flatbush","Entire home/apt",6,3,"3.33",False,"365","365","1.00000000000000000000"
"2484057","Williamsburg","Entire home/apt",4,24,"4.96",False,"365","178","0.48767123287671232877"
"958076669143568111","Nolita","Entire home/apt",2,5,"5.00",True,"365","136","0.37260273972602739726"
"27087566","Greenpoint","Entire home/apt",4,2,"4.50",False,"365","365","1.00000000000000000000"
"1298016667175046182","Hell's Kitchen","Entire home/apt",2,2,"5.00",False,"365","29","0.07945205479452054795"
"1016062872267819040","Greenpoint","Entire home/apt",6,16,"4.94",True,"365","93","0.25479452054794520548"
"746530698054367292","Chelsea","Entire home/apt",2,5,"5.00",False,"365","63","0.17260273972602739726"
"611375240063523967","Bushwick","Private room",1,0,NULL,False,"365","0","0.00000000000000000000"
"45783672","East Flatbush","Entire home/apt",3,19,"5.00",True,"365","100","0.27397260273972602740"
"11939910","East Harlem","Private room",1,6,"4.50",False,"365","365","1.00000000000000000000"
"686931494585581268","Hell's Kitchen","Entire home/apt",2,4,"4.75",False,"365","336","0.92054794520547945205"
"1281059918783004753","Bushwick","Private room",1,0,NULL,False,"365","112","0.30684931506849315068"
"1329072590622531824","Bushwick","Entire home/apt",2,2,"5.00",True,"365","187","0.51232876712328767123"
"1542115439204695052","Chelsea","Entire home/apt",2,0,NULL,False,"365","276","0.75616438356164383562"
"13604485","Bedford-Stuyvesant","Entire home/apt",3,120,"4.62",False,"365","365","1.00000000000000000000"
"19330742","Bushwick","Private room",1,0,NULL,False,"365","365","1.00000000000000000000"
"17045905","East Village","Entire home/apt",2,3,"4.67",False,"365","365","1.00000000000000000000"
"17510449","Lower East Side","Entire home/apt",2,1,"1.00",False,"365","365","1.00000000000000000000"
"52552844","Midtown","Entire home/apt",2,41,"4.51",False,"365","365","1.00000000000000000000"
"1420457822942669126","Flushing","Entire home/apt",4,1,"4.00",False,"365","0","0.00000000000000000000"
"35716479","Harlem","Private room",2,0,NULL,False,"365","0","0.00000000000000000000"
"19181881","Upper West Side","Entire home/apt",3,0,NULL,False,"365","365","1.00000000000000000000"
"9064688","Williamsburg","Entire home/apt",4,1,"5.00",False,"365","365","1.00000000000000000000"
"39593","Sunnyside","Private room",1,36,"4.90",False,"365","211","0.57808219178082191781"
"5412567","Bedford-Stuyvesant","Entire home/apt",3,3,"5.00",False,"365","365","1.00000000000000000000"
"27874237","South Slope","Entire home/apt",3,4,"5.00",False,"365","301","0.82465753424657534247"
"715842881002822241","Mott Haven","Private room",7,11,"5.00",False,"365","6","0.01643835616438356164"
"53045283","East Village","Entire home/apt",2,4,"5.00",False,"365","10","0.02739726027397260274"
"49051881","Crown Heights","Entire home/apt",2,129,"4.94",True,"365","288","0.78904109589041095890"
"1117326207587983417","Midtown","Entire home/apt",2,5,"5.00",True,"365","162","0.44383561643835616438"
"20364240","Crown Heights","Private room",2,52,"4.69",False,"365","0","0.00000000000000000000"
"41588820","Upper West Side","Entire home/apt",10,2,"4.50",False,"365","365","1.00000000000000000000"
"15569019","Crown Heights","Entire home/apt",2,9,"5.00",False,"365","280","0.76712328767123287671"
"823873279680543477","Crown Heights","Private room",2,42,"4.83",True,"365","9","0.02465753424657534247"
"1395783863301689052","Upper West Side","Entire home/apt",2,0,NULL,False,"365","166","0.45479452054794520548"
"1523141889503113937","Upper East Side","Entire home/apt",2,0,NULL,False,"365","125","0.34246575342465753425"
"914651482170510192","Kingsbridge","Entire home/apt",2,0,NULL,True,"365","0","0.00000000000000000000"
"1408069541422186353","South Ozone Park","Private room",2,15,"4.40",False,"365","16","0.04383561643835616438"
"30398938","Midtown","Entire home/apt",6,188,"4.33",False,"365","31","0.08493150684931506849"
"29144832","Midtown","Entire home/apt",4,10,"5.00",False,"365","365","1.00000000000000000000"
"1518440736587886457","St. Albans","Entire home/apt",4,1,"5.00",False,"365","365","1.00000000000000000000"
"8272327","Cobble Hill","Private room",2,141,"4.96",True,"365","256","0.70136986301369863014"
"47206059","Whitestone","Entire home/apt",3,16,"4.38",False,"365","5","0.01369863013698630137"
"20499306","Crown Heights","Private room",1,0,NULL,False,"365","365","1.00000000000000000000"
"53167175","Upper East Side","Entire home/apt",2,10,"5.00",False,"365","284","0.77808219178082191781"
"49987009","Windsor Terrace","Private room",2,55,"4.75",False,"365","0","0.00000000000000000000"
"770951877817471110","Park Slope","Entire home/apt",4,28,"4.96",False,"365","178","0.48767123287671232877"
"727329511774515361","Kips Bay","Entire home/apt",1,27,"4.96",True,"365","60","0.16438356164383561644"
"53290905","Flushing","Private room",1,1,"4.00",False,"365","365","1.00000000000000000000"
"885532193980405410","Fort Hamilton","Private room",2,4,"4.75",False,"365","34","0.09315068493150684932"
"1331328148835085189","Castle Hill","Private room",2,28,"4.57",False,"365","25","0.06849315068493150685"
"33140204","Bedford-Stuyvesant","Entire home/apt",5,3,"5.00",False,"365","365","1.00000000000000000000"
"31514475","Bronxdale","Private room",1,11,"4.64",False,"365","28","0.07671232876712328767"
