listing_id,neighbourhood_cleansed,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,total_days,total_occupied_days,occupancy_rate
3629580,East Harlem,Private room,1,3,5.0,False,365,365,1.0
28438751,Astoria,Private room,3,391,4.55,False,365,183,0.5013698630136986
851448450763390690,Greenpoint,Entire home/apt,4,1,5.0,False,365,365,1.0
23158770,Woodhaven,Entire home/apt,4,0,,False,365,365,1.0
942191196511011206,East Flatbush,Entire home/apt,6,3,3.33,False,365,365,1.0
2484057,Williamsburg,Entire home/apt,4,24,4.96,False,365,178,0.4876712328767123
958076669143568111,Nolita,Entire home/apt,2,5,5.0,True,365,136,0.3726027397260273
27087566,Greenpoint,Entire home/apt,4,2,4.5,False,365,365,1.0
1298016667175046182,Hell's Kitchen,Entire home/apt,2,2,5.0,False,365,29,0.0794520547945205
1016062872267819040,Greenpoint,Entire home/apt,6,16,4.94,True,365,93,0.2547945205479452
746530698054367292,Chelsea,Entire home/apt,2,5,5.0,False,365,63,0.1726027397260273
611375240063523967,Bushwick,Private room,1,0,,False,365,0,0.0
45783672,East Flatbush,Entire home/apt,3,19,5.0,True,365,100,0.273972602739726
11939910,East Harlem,Private room,1,6,4.5,False,365,365,1.0
686931494585581268,Hell's Kitchen,Entire home/apt,2,4,4.75,False,365,336,0.9205479452054794
1281059918783004753,Bushwick,Private room,1,0,,False,365,112,0.3068493150684931
1329072590622531824,Bushwick,Entire home/apt,2,2,5.0,True,365,187,0.5123287671232876
1542115439204695052,Chelsea,Entire home/apt,2,0,,False,365,276,0.7561643835616438
13604485,Bedford-Stuyvesant,Entire home/apt,3,120,4.62,False,365,365,1.0
19330742,Bushwick,Private room,1,0,,False,365,365,1.0
17045905,East Village,Entire home/apt,2,3,4.67,False,365,365,1.0
17510449,Lower East Side,Entire home/apt,2,1,1.0,False,365,365,1.0
52552844,Midtown,Entire home/apt,2,41,4.51,False,365,365,1.0
1420457822942669126,Flushing,Entire home/apt,4,1,4.0,False,365,0,0.0
35716479,Harlem,Private room,2,0,,False,365,0,0.0
19181881,Upper West Side,Entire home/apt,3,0,,False,365,365,1.0
9064688,Williamsburg,Entire home/apt,4,1,5.0,False,365,365,1.0
39593,Sunnyside,Private room,1,36,4.9,False,365,211,0.5780821917808219
5412567,Bedford-Stuyvesant,Entire home/apt,3,3,5.0,False,365,365,1.0
27874237,South Slope,Entire home/apt,3,4,5.0,False,365,301,0.8246575342465753
715842881002822241,Mott Haven,Private room,7,11,5.0,False,365,6,0.0164383561643835
53045283,East Village,Entire home/apt,2,4,5.0,False,365,10,0.0273972602739726
49051881,Crown Heights,Entire home/apt,2,129,4.94,True,365,288,0.7890410958904109
1117326207587983417,Midtown,Entire home/apt,2,5,5.0,True,365,162,0.4438356164383561
20364240,Crown Heights,Private room,2,52,4.69,False,365,0,0.0
41588820,Upper West Side,Entire home/apt,10,2,4.5,False,365,365,1.0
15569019,Crown Heights,Entire home/apt,2,9,5.0,False,365,280,0.7671232876712328
823873279680543477,Crown Heights,Private room,2,42,4.83,True,365,9,0.0246575342465753
1395783863301689052,Upper West Side,Entire home/apt,2,0,,False,365,166,0.4547945205479452
1523141889503113937,Upper East Side,Entire home/apt,2,0,,False,365,125,0.3424657534246575
914651482170510192,Kingsbridge,Entire home/apt,2,0,,True,365,0,0.0
1408069541422186353,South Ozone Park,Private room,2,15,4.4,False,365,16,0.0438356164383561
30398938,Midtown,Entire home/apt,6,188,4.33,False,365,31,0.084931506849315
29144832,Midtown,Entire home/apt,4,10,5.0,False,365,365,1.0
1518440736587886457,St. Albans,Entire home/apt,4,1,5.0,False,365,365,1.0
8272327,Cobble Hill,Private room,2,141,4.96,True,365,256,0.7013698630136986
47206059,Whitestone,Entire home/apt,3,16,4.38,False,365,5,0.0136986301369863
20499306,Crown Heights,Private room,1,0,,False,365,365,1.0
53167175,Upper East Side,Entire home/apt,2,10,5.0,False,365,284,0.7780821917808219
49987009,Windsor Terrace,Private room,2,55,4.75,False,365,0,0.0
770951877817471110,Park Slope,Entire home/apt,4,28,4.96,False,365,178,0.4876712328767123
